Plant,Department,Mean
P01,Dep01,"30,33"
P01,Dep02,"29,17"
P01,Dep03,"30,08"
P01,Dep04,"29,75"
P01,Dep05,"30,33"
P01,Dep06,"69,58"
P01,Dep07,"69,17"
P01,Dep08,"69,17"
P02,Dep01,"30,33"
P02,Dep02,"29,42"
P02,Dep03,"30,83"
P02,Dep04,"29,92"
P02,Dep05,"30,17"
P02,Dep06,"69,08"
P02,Dep07,"68,5"
P02,Dep08,"68,92"
P03,Dep01,"30,25"
P03,Dep02,"30,25"
P03,Dep03,"30,08"
P03,Dep04,"30,58"
P03,Dep05,"30,08"
P03,Dep06,"69,75"
P03,Dep07,"69,42"
P03,Dep08,"68,83"
P04,Dep01,"29,67"
P04,Dep02,"29,5"
P04,Dep03,"30,08"
P04,Dep04,"30,5"
P04,Dep05,"29,33"
P04,Dep06,"68,5"
P04,Dep07,"69,25"
P04,Dep08,"69,33"
P05,Dep01,"30,17"
P05,Dep02,"30,25"
P05,Dep03,"30,5"
P05,Dep04,"29,75"
P05,Dep05,"30,5"
P05,Dep06,"68,58"
P05,Dep07,"69,25"
P05,Dep08,"69,42"
P06,Dep01,"29,75"
P06,Dep02,"30,83"
P06,Dep03,"29,58"
P06,Dep04,"29,5"
P06,Dep05,"29,75"
P06,Dep06,"69,42"
P06,Dep07,"67,75"
P06,Dep08,69
P07,Dep01,"30,42"
P07,Dep02,"29,75"
P07,Dep03,30
P07,Dep04,"30,42"
P07,Dep05,"30,5"
P07,Dep06,"69,08"
P07,Dep07,"68,67"
P07,Dep08,"69,5"
P08,Dep01,"29,67"
P08,Dep02,"30,08"
P08,Dep03,"30,25"
P08,Dep04,30
P08,Dep05,"29,67"
P08,Dep06,"68,58"
P08,Dep07,"69,42"
P08,Dep08,70
P09,Dep01,"29,58"
P09,Dep02,"29,92"
P09,Dep03,"29,42"
P09,Dep04,"28,83"
P09,Dep05,30
P09,Dep06,"69,17"
P09,Dep07,69
P09,Dep08,"68,92"
P10,Dep01,"29,5"
P10,Dep02,30
P10,Dep03,"30,33"
P10,Dep04,30
P10,Dep05,"29,67"
P10,Dep06,"69,17"
P10,Dep07,"69,58"
P10,Dep08,69
P11,Dep01,"30,5"
P11,Dep02,"30,08"
P11,Dep03,"29,92"
P11,Dep04,"29,08"
P11,Dep05,"29,33"
P11,Dep06,"69,58"
P11,Dep07,"69,33"
P11,Dep08,"68,5"
P12,Dep01,"29,33"
P12,Dep02,"29,5"
P12,Dep03,"29,58"
P12,Dep04,"30,08"
P12,Dep05,"30,5"
P12,Dep06,"69,25"
P12,Dep07,"68,75"
P12,Dep08,"69,08"
