n_inc,dep_type
3,Setting
"2,9",Setting
"3,2",Setting
"2,8",Working
3,Working
"6,7",Working
"6,9",Working
"7,1",Testing
"3,2",Setting
"2,9",Setting
"3,1",Setting
"3,1",Working
"2,8",Working
"7,1",Working
"6,8",Working
"6,7",Testing
3,Setting
"2,8",Setting
"2,9",Setting
"2,9",Working
3,Working
"6,9",Working
"7,1",Working
7,Testing
"3,1",Setting
"2,8",Setting
"2,8",Setting
"3,1",Working
"2,9",Working
"6,9",Working
"6,8",Working
"7,1",Testing
"3,2",Setting
3,Setting
"3,2",Setting
"2,9",Working
3,Working
"6,8",Working
"7,1",Working
"6,8",Testing
"2,8",Setting
3,Setting
"2,8",Setting
"2,9",Working
"2,8",Working
7,Working
"6,7",Working
"6,8",Testing
"3,1",Setting
"2,8",Setting
3,Setting
"2,8",Working
3,Working
"7,1",Working
7,Working
"7,1",Testing
"3,1",Setting
"3,2",Setting
3,Setting
"2,9",Working
"2,9",Working
"6,8",Working
7,Working
"7,1",Testing
3,Setting
"2,9",Setting
"2,8",Setting
"2,8",Working
"2,8",Working
"7,1",Working
7,Working
7,Testing
"2,8",Setting
"3,2",Setting
"3,2",Setting
"2,9",Working
"2,9",Working
"6,8",Working
"6,9",Working
"6,7",Testing
3,Setting
"2,9",Setting
"2,9",Setting
"2,9",Working
"2,8",Working
"7,1",Working
"6,8",Working
7,Testing
"2,8",Setting
"2,9",Setting
3,Setting
"3,2",Working
3,Working
"6,9",Working
"6,9",Working
"6,7",Testing
"3,2",Setting
"2,9",Setting
"2,9",Setting
"2,9",Working
"3,1",Working
"6,7",Working
"6,9",Working
7,Testing
"3,2",Setting
3,Setting
"3,2",Setting
"3,2",Working
"2,9",Working
7,Working
"6,9",Working
"6,8",Testing
"2,9",Setting
"2,9",Setting
"3,2",Setting
3,Working
3,Working
"7,1",Working
"7,1",Working
"6,7",Testing
"2,8",Setting
"2,8",Setting
"2,8",Setting
"3,2",Working
"2,9",Working
7,Working
"6,9",Working
"6,9",Testing
"3,1",Setting
"3,1",Setting
"2,8",Setting
"3,2",Working
"3,1",Working
"6,8",Working
"6,9",Working
"6,8",Testing
"2,8",Setting
"3,2",Setting
"2,9",Setting
"3,1",Working
"3,2",Working
7,Working
"6,7",Working
7,Testing
3,Setting
"3,1",Setting
"2,8",Setting
"3,1",Working
"2,9",Working
"6,9",Working
"6,9",Working
"6,7",Testing
"2,8",Setting
"2,9",Setting
3,Setting
"3,2",Working
"2,8",Working
"7,1",Working
7,Working
"7,1",Testing
"2,8",Setting
"3,2",Setting
3,Setting
"2,8",Working
3,Working
"7,1",Working
7,Working
"6,8",Testing
"2,8",Setting
3,Setting
"2,9",Setting
"3,2",Working
"2,9",Working
"6,7",Working
7,Working
"6,8",Testing
"2,8",Setting
3,Setting
"2,9",Setting
"3,1",Working
"2,9",Working
7,Working
"6,9",Working
"6,9",Testing
"2,8",Setting
"2,8",Setting
"2,8",Setting
"2,8",Working
"3,2",Working
"7,1",Working
"6,7",Working
"6,8",Testing
3,Setting
"3,1",Setting
"3,2",Setting
"2,9",Working
"2,9",Working
"7,1",Working
"7,1",Working
"6,9",Testing
3,Setting
"2,9",Setting
"3,1",Setting
"2,9",Working
3,Working
7,Working
"6,8",Working
7,Testing
"3,2",Setting
3,Setting
"2,9",Setting
3,Working
"3,2",Working
"7,1",Working
"7,1",Working
"6,9",Testing
"2,8",Setting
"2,8",Setting
3,Setting
3,Working
"2,9",Working
7,Working
7,Working
7,Testing
"2,8",Setting
3,Setting
"3,2",Setting
"2,9",Working
3,Working
"6,8",Working
"7,1",Working
7,Testing
"2,9",Setting
3,Setting
"2,8",Setting
3,Working
"3,1",Working
"6,8",Working
"6,7",Working
7,Testing
"2,9",Setting
"2,9",Setting
"3,1",Setting
"3,1",Working
"3,2",Working
"6,9",Working
7,Working
"6,7",Testing
3,Setting
3,Setting
3,Setting
"2,9",Working
"3,2",Working
"6,9",Working
"7,1",Working
"6,9",Testing
"2,9",Setting
"2,8",Setting
"2,9",Setting
"2,8",Working
"2,9",Working
"6,7",Working
7,Working
"6,8",Testing
"3,2",Setting
"2,9",Setting
"3,2",Setting
"2,8",Working
3,Working
7,Working
"6,7",Working
"6,9",Testing
"3,1",Setting
"2,8",Setting
"3,2",Setting
"2,9",Working
"3,2",Working
"6,9",Working
"6,9",Working
"7,1",Testing
"3,1",Setting
"3,1",Setting
"3,1",Setting
"3,2",Working
"3,2",Working
"6,9",Working
7,Working
7,Testing
"3,1",Setting
"3,2",Setting
3,Setting
3,Working
"3,2",Working
7,Working
"6,7",Working
7,Testing
"2,9",Setting
"2,9",Setting
"3,2",Setting
3,Working
3,Working
"7,1",Working
"6,8",Working
7,Testing
"2,8",Setting
"3,1",Setting
3,Setting
"3,2",Working
"2,8",Working
"7,1",Working
"6,8",Working
"6,8",Testing
"2,9",Setting
"2,9",Setting
"2,8",Setting
"2,8",Working
3,Working
"6,8",Working
7,Working
"7,1",Testing
3,Setting
"3,1",Setting
"2,8",Setting
"2,8",Working
3,Working
7,Working
"6,8",Working
"7,1",Testing
"3,1",Setting
3,Setting
3,Setting
3,Working
3,Working
7,Working
"6,7",Working
"6,8",Testing
"3,2",Setting
"2,9",Setting
"2,9",Setting
"3,1",Working
"2,8",Working
"6,9",Working
"7,1",Working
"6,8",Testing
"2,8",Setting
"3,1",Setting
3,Setting
"3,1",Working
3,Working
"6,8",Working
"6,8",Working
"7,1",Testing
"3,2",Setting
3,Setting
"2,8",Setting
"2,8",Working
"3,1",Working
"6,8",Working
"6,8",Working
7,Testing
3,Setting
"3,2",Setting
3,Setting
3,Working
"2,8",Working
7,Working
"6,8",Working
"6,8",Testing
"3,2",Setting
"3,1",Setting
"3,2",Setting
3,Working
"2,9",Working
"7,1",Working
"7,1",Working
"6,8",Testing
3,Setting
3,Setting
"2,8",Setting
"3,2",Working
3,Working
"6,8",Working
7,Working
"6,9",Testing
"3,2",Setting
3,Setting
"3,1",Setting
"2,8",Working
"3,1",Working
"7,1",Working
"6,9",Working
"7,1",Testing
"3,2",Setting
"3,2",Setting
"3,1",Setting
3,Working
"3,1",Working
"6,7",Working
7,Working
7,Testing
"3,1",Setting
"2,9",Setting
"2,9",Setting
"3,1",Working
3,Working
"7,1",Working
7,Working
"6,9",Testing
"3,1",Setting
"3,1",Setting
"3,2",Setting
"3,1",Working
"2,9",Working
"6,9",Working
"6,7",Working
"7,1",Testing
"3,1",Setting
3,Setting
"2,9",Setting
"2,8",Working
"3,2",Working
"6,9",Working
"6,9",Working
"6,8",Testing
"3,1",Setting
"3,2",Setting
"3,1",Setting
3,Working
"3,1",Working
"6,8",Working
"6,7",Working
"6,8",Testing
"3,2",Setting
"2,9",Setting
"3,2",Setting
"3,2",Working
"3,2",Working
7,Working
"6,9",Working
"7,1",Testing
"3,2",Setting
"2,8",Setting
"3,2",Setting
"2,9",Working
3,Working
"6,8",Working
"7,1",Working
"7,1",Testing
"3,1",Setting
"2,8",Setting
"3,1",Setting
3,Working
"3,2",Working
"6,8",Working
"6,8",Working
"6,9",Testing
"2,8",Setting
"3,2",Setting
"2,9",Setting
"3,2",Working
"2,8",Working
7,Working
"6,9",Working
"6,9",Testing
3,Setting
"3,1",Setting
"2,9",Setting
"2,8",Working
3,Working
7,Working
"6,7",Working
"6,8",Testing
"2,8",Setting
"2,9",Setting
"3,1",Setting
"2,9",Working
3,Working
"7,1",Working
7,Working
"7,1",Testing
"2,9",Setting
"2,8",Setting
3,Setting
"3,2",Working
"3,1",Working
7,Working
"6,7",Working
"6,7",Testing
"3,2",Setting
"3,2",Setting
"3,2",Setting
"2,9",Working
3,Working
"6,8",Working
"6,7",Working
"6,9",Testing
"3,2",Setting
"2,8",Setting
"3,2",Setting
"2,9",Working
"3,2",Working
"6,7",Working
"6,7",Working
"7,1",Testing
"3,1",Setting
"3,2",Setting
3,Setting
"3,1",Working
"3,1",Working
"6,7",Working
"6,7",Working
"6,8",Testing
"2,9",Setting
"3,2",Setting
"3,2",Setting
"2,8",Working
3,Working
"7,1",Working
"6,9",Working
"7,1",Testing
"3,1",Setting
"3,2",Setting
3,Setting
"3,1",Working
"2,9",Working
"6,8",Working
"6,8",Working
"7,1",Testing
"2,9",Setting
"3,2",Setting
"2,8",Setting
"3,2",Working
"2,9",Working
"6,7",Working
"6,7",Working
"6,9",Testing
"3,2",Setting
"3,1",Setting
"2,8",Setting
"2,8",Working
"2,9",Working
"6,7",Working
7,Working
"7,1",Testing
"2,8",Setting
"2,9",Setting
"3,2",Setting
3,Working
3,Working
"7,1",Working
"6,8",Working
"6,8",Testing
"2,8",Setting
"3,1",Setting
"3,1",Setting
"2,8",Working
"2,9",Working
"7,1",Working
"6,8",Working
7,Testing
"3,2",Setting
"3,2",Setting
"3,1",Setting
"2,9",Working
"2,8",Working
"7,1",Working
7,Working
"6,7",Testing
"3,2",Setting
"2,9",Setting
"2,8",Setting
"2,9",Working
3,Working
"6,8",Working
"6,7",Working
"6,8",Testing
"3,1",Setting
"2,8",Setting
"3,2",Setting
3,Working
3,Working
7,Working
7,Working
"6,8",Testing
"2,8",Setting
"2,8",Setting
"3,2",Setting
"3,2",Working
"2,9",Working
"6,9",Working
"6,7",Working
7,Testing
"3,1",Setting
"3,2",Setting
"2,9",Setting
"3,1",Working
"3,1",Working
"6,8",Working
"7,1",Working
"6,9",Testing
"3,1",Setting
"2,8",Setting
"2,9",Setting
3,Working
"3,1",Working
"6,8",Working
"6,9",Working
7,Testing
"3,1",Setting
"3,2",Setting
3,Setting
"2,8",Working
"3,2",Working
"6,7",Working
"6,7",Working
"7,1",Testing
"2,9",Setting
"3,1",Setting
"3,2",Setting
"2,9",Working
"3,2",Working
"7,1",Working
7,Working
"6,8",Testing
3,Setting
"3,1",Setting
"2,9",Setting
"3,1",Working
"3,1",Working
7,Working
"6,8",Working
"7,1",Testing
3,Setting
"3,2",Setting
3,Setting
"3,2",Working
3,Working
"6,9",Working
7,Working
"6,9",Testing
"3,2",Setting
"3,1",Setting
"2,8",Setting
"2,9",Working
"3,1",Working
"6,8",Working
"6,9",Working
"6,7",Testing
"2,8",Setting
3,Setting
"2,9",Setting
"3,2",Working
"2,9",Working
7,Working
"7,1",Working
7,Testing
3,Setting
3,Setting
"3,2",Setting
"2,9",Working
"2,8",Working
"6,8",Working
"6,7",Working
"6,8",Testing
"2,9",Setting
"2,8",Setting
3,Setting
"2,8",Working
"3,2",Working
"6,8",Working
"7,1",Working
"6,7",Testing
"2,9",Setting
3,Setting
"2,8",Setting
"3,2",Working
3,Working
"6,8",Working
"7,1",Working
"6,8",Testing
3,Setting
"2,8",Setting
"2,8",Setting
"2,8",Working
"3,2",Working
7,Working
"7,1",Working
"6,7",Testing
"3,2",Setting
"3,1",Setting
"3,2",Setting
"3,2",Working
"2,8",Working
"6,9",Working
7,Working
"6,8",Testing
"2,9",Setting
3,Setting
"2,8",Setting
"3,2",Working
